Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7022609,CAP,Moses Brown,Portland Trail Blazers,Chicago Bulls,6000,9.61,9.92,OUT
7022679,PF,Patrick Williams,Chicago Bulls,Portland Trail Blazers,7800,20.52,23.58,OUT
7022679,SF,Patrick Williams,Chicago Bulls,Portland Trail Blazers,7800,20.52,23.58,OUT
7022679,FLEX,Patrick Williams,Chicago Bulls,Portland Trail Blazers,7800,20.52,23.58,OUT
7022679,CAP,Patrick Williams,Chicago Bulls,Portland Trail Blazers,7800,20.52,23.58,OUT
7022816,SG,Ayo Dosunmu,Chicago Bulls,Portland Trail Blazers,10410,17.51,28.42,EXPECTED STARTER
7022816,PG,Ayo Dosunmu,Chicago Bulls,Portland Trail Blazers,10410,17.51,28.42,EXPECTED STARTER
7022816,FLEX,Ayo Dosunmu,Chicago Bulls,Portland Trail Blazers,10410,17.51,28.42,EXPECTED STARTER
7022816,CAP,Ayo Dosunmu,Chicago Bulls,Portland Trail Blazers,10410,17.51,28.42,EXPECTED STARTER
7022862,PF,Terry Taylor,Chicago Bulls,Portland Trail Blazers,6000,4.13,4.42,
7022862,C,Terry Taylor,Chicago Bulls,Portland Trail Blazers,6000,4.13,4.42,
7022862,FLEX,Terry Taylor,Chicago Bulls,Portland Trail Blazers,6000,4.13,4.42,
7022862,CAP,Terry Taylor,Chicago Bulls,Portland Trail Blazers,6000,4.13,4.42,
7022948,PG,Scoot Henderson,Portland Trail Blazers,Chicago Bulls,10470,23.61,20.33,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY
7022948,SG,Scoot Henderson,Portland Trail Blazers,Chicago Bulls,10470,23.61,20.33,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY
7022948,FLEX,Scoot Henderson,Portland Trail Blazers,Chicago Bulls,10470,23.61,20.33,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY
7022948,CAP,Scoot Henderson,Portland Trail Blazers,Chicago Bulls,10470,23.61,20.33,PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY
7022989,SF,Dalen Terry,Chicago Bulls,Portland Trail Blazers,6000,6.78,9.42,
7022989,FLEX,Dalen Terry,Chicago Bulls,Portland Trail Blazers,6000,6.78,9.42,
7022989,CAP,Dalen Terry,Chicago Bulls,Portland Trail Blazers,6000,6.78,9.42,
7023026,SG,Shaedon Sharpe,Portland Trail Blazers,Chicago Bulls,11000,28.95,24.25,OUT
7023026,SF,Shaedon Sharpe,Portland Trail Blazers,Chicago Bulls,11000,28.95,24.25,OUT
7023026,FLEX,Shaedon Sharpe,Portland Trail Blazers,Chicago Bulls,11000,28.95,24.25,OUT
7023026,CAP,Shaedon Sharpe,Portland Trail Blazers,Chicago Bulls,11000,28.95,24.25,OUT
7023027,PF,Jabari Walker,Portland Trail Blazers,Chicago Bulls,11440,19.71,25.42,"EXPECTED STARTER, PLAYER IS INJURED BUT IS A GAME TIME DECISION TO PLAY"
