,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
373,Grant Williams,willigr01,PF,7.5,63,18.1,0.372,4.7,2617800.0
374,Kenrich Williams,willike04,PF,14.0,66,21.6,0.444,8.0,2000000.0
375,Lou Williams,willilo02,PG,14.0,66,21.6,0.399,11.3,5000000.0
376,Patrick Williams,willipa01,PF,10.5,71,27.9,0.391,9.2,7422000.0
377,Robert Williams,williro04,C,25.7,52,18.9,0.0,8.0,3661976.0
378,Zion Williamson,willizi01,PF,27.1,61,33.2,0.294,27.0,10733400.0
379,Dylan Windler,windldy01,SF,10.8,31,16.5,0.338,5.2,2239200.0
380,Justise Winslow,winslju01,SF,6.2,26,19.5,0.185,6.8,3902439.0
381,James Wiseman,wisemja01,C,13.1,39,21.4,0.316,11.5,9166800.0
382,Christian Wood,woodch01,C,20.0,41,32.3,0.374,21.0,13666667.0
383,Robert Woodard,woodaro01,SF,12.5,13,3.5,0.167,1.5,1517981.0
384,Delon Wright,wrighde01,SG-PG,16.3,63,27.7,0.372,10.2,8526316.0
385,Thaddeus Young,youngth01,PF,20.3,68,24.3,0.267,12.1,14190000.0
386,Trae Young,youngtr01,PG,23.0,63,33.7,0.343,25.3,8326471.0
387,Cody Zeller,zelleco01,C,18.2,48,20.9,0.143,9.4,2389641.0
388,Ivica Zubac,zubaciv01,C,19.1,72,22.3,0.25,9.0,7518518.0
