,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
141,James Harden,hardeja01,PG-SG,24.5,44,36.6,0.362,24.6,43848000.0
142,Maurice Harkless,harklma01,PF-SF,8.1,37,20.9,0.274,5.2,4347600.0
143,Montrezl Harrell,harremo01,C,22.7,69,22.9,0.0,13.5,9720900.0
144,Gary Harris,harriga01,SG,9.1,39,27.7,0.34,9.9,20482143.0
145,Joe Harris,harrijo01,SF,14.1,69,31.0,0.475,14.1,17357143.0
146,Tobias Harris,harrito02,PF,20.0,62,32.5,0.394,19.5,36000000.0
147,Josh Hart,hartjo01,SF,12.2,47,28.7,0.326,9.2,12000000.0
148,Isaiah Hartenstein,harteis01,C,17.9,46,12.2,0.333,5.1,3430810.0
149,Udonis Haslem,hasleud01,C,54.6,1,3.0,,4.0,2641691.0
150,Jaxson Hayes,hayesja02,C,19.1,60,16.1,0.429,7.5,5348280.0
151,Killian Hayes,hayeski01,PG,5.3,26,25.8,0.278,6.8,5572680.0
152,Gordon Hayward,haywago01,SF,17.6,44,34.0,0.415,19.6,29900000.0
153,Juan Hernangómez,hernaju01,PF,12.1,52,17.3,0.327,7.2,7012440.0
154,Willy Hernangómez,hernawi01,C,19.6,47,18.0,0.1,7.8,2327220.0
155,Tyler Herro,herroty01,SG,13.3,54,30.3,0.36,15.1,4004280.0
156,Buddy Hield,hieldbu01,SG,12.8,71,34.3,0.391,16.6,22477273.0
157,George Hill,hillge01,PG,13.1,30,22.4,0.388,8.7,4000000.0
158,Solomon Hill,hillso01,PF,6.7,71,21.3,0.321,4.5,2389641.0
159,Aaron Holiday,holidaa01,PG,9.2,66,17.8,0.368,7.2,3980551.0
160,Jrue Holiday,holidjr01,PG,20.0,59,32.3,0.392,17.7,30133333.0
161,Justin Holiday,holidju01,SG,10.4,72,30.3,0.382,10.5,6006420.0
162,Richaun Holmes,holmeri01,C,20.2,61,29.2,0.182,14.2,10384500.0
163,Rodney Hood,hoodro01,SF,5.6,55,17.1,0.301,4.5,2239544.0
164,Al Horford,horfoal01,C,17.4,28,27.9,0.368,14.2,27000000.0
165,Talen Horton-Tucker,hortota01,SG,12.9,65,20.1,0.282,9.0,9500000.0
166,Danuel House,houseda01,SF,9.1,36,25.9,0.346,8.8,3894000.0
167,Dwight Howard,howardw01,C,17.8,69,17.3,0.25,7.0,2641691.0
168,Kevin Huerter,huertke01,SG,12.2,69,30.8,0.363,11.9,4253357.0
169,Elijah Hughes,hugheel01,SF,8.4,18,3.6,0.348,1.7,1517981.0
170,De'Andre Hunter,huntede01,SF,15.7,23,29.5,0.326,15.0,7775400.0
171,Chandler Hutchison,hutchch01,SF,6.8,25,13.8,0.364,4.3,
172,Serge Ibaka,ibakase01,C,18.2,41,23.3,0.339,11.1,9742000.0
173,Andre Iguodala,iguodan01,SF,9.2,63,21.3,0.33,4.4,2641691.0
174,Joe Ingles,inglejo01,SF,15.9,67,27.9,0.451,12.1,14000000.0
175,Brandon Ingram,ingrabr01,SF,19.2,61,34.3,0.381,23.8,29467800.0
176,Kyrie Irving,irvinky01,PG,24.4,54,34.9,0.402,26.9,34916200.0
